video_id,chaine,entite_du_canal,publiee,titre,url
uwyDo-NNCD8,Produits Laitiers,CNIEL,2026-02-24,CHAUD! - Épisode 4 (avec Jeffrey Cagnes),https://www.youtube.com/watch?v=uwyDo-NNCD8
-iTbQV76CLc,Produits Laitiers,CNIEL,2024-01-17,"LES STAGIAIRES (AVEC OCÉANE, LE MOTIF, JOËL ET YASSENCORE)",https://www.youtube.com/watch?v=-iTbQV76CLc
3QvRInOnfqo,Produits Laitiers,CNIEL,2023-05-31,Pub Les Produits Laitiers Manga - Filière Laitière,https://www.youtube.com/watch?v=3QvRInOnfqo
MRgD8nhPyvE,Produits Laitiers,CNIEL,2023-02-15,Pub TV - Les Produits Laitiers Manga - Environnement,https://www.youtube.com/watch?v=MRgD8nhPyvE
xjsrqaP-sHQ,Produits Laitiers,CNIEL,2023-02-15,Pub TV - Les Produits Laitiers Manga - Y a quoi dans le lait ?,https://www.youtube.com/watch?v=xjsrqaP-sHQ
ws3WGmINlIg,Produits Laitiers,CNIEL,2022-12-12,LES JONES - BURGERS,https://www.youtube.com/watch?v=ws3WGmINlIg
ZlLjvG1voQU,Produits Laitiers,CNIEL,2022-01-01,"Les Produits Laitiers, Ensemble pour la vie",https://www.youtube.com/watch?v=ZlLjvG1voQU
pHV0JXupnTY,Produits Laitiers,CNIEL,2021-12-01,Denitsa vient découvrir comment est évalué le bien-être animal dans une ferme laitière.,https://www.youtube.com/watch?v=pHV0JXupnTY
8UOOO1uC-Ns,Produits Laitiers,CNIEL,2021-06-01,"La biodiversité, au cœur de la filière laitière",https://www.youtube.com/watch?v=8UOOO1uC-Ns
V2f-mjGFKUo,Produits Laitiers,CNIEL,2021-03-03,"Dis Jamy, il y a quoi dans les produits laitiers ?",https://www.youtube.com/watch?v=V2f-mjGFKUo
RmM5kz-VVls,Produits Laitiers,CNIEL,2021-03-01,DANS NOS ASSIETTES - BENJAMIN,https://www.youtube.com/watch?v=RmM5kz-VVls
pRbQ4khqWSk,Produits Laitiers,CNIEL,2021-03-01,DANS NOS ASSIETTES - TARA,https://www.youtube.com/watch?v=pRbQ4khqWSk
nrV7gX2uWCM,Produits Laitiers,CNIEL,2021-02-22,"Les vaches, ça pollue ?",https://www.youtube.com/watch?v=nrV7gX2uWCM
tHQrx45zyEY,Produits Laitiers,CNIEL,2021-01-26,Morgan VS découvre les AOP : le Camembert de Normandie,https://www.youtube.com/watch?v=tHQrx45zyEY
3vmnwH0WSMU,Produits Laitiers,CNIEL,2020-09-08,Et si on en parlait : Les jus végétaux,https://www.youtube.com/watch?v=3vmnwH0WSMU
V8jvr6gfhyI,Produits Laitiers,CNIEL,2020-09-08,Milk Check : Consommer les produits laitiers après la date limite ?,https://www.youtube.com/watch?v=V8jvr6gfhyI
pqqRJN8HjWE,Produits Laitiers,CNIEL,2020-09-08,Et si on en parlait : Le bien-être des vaches laitières.,https://www.youtube.com/watch?v=pqqRJN8HjWE
