recolte_le,video_id,url,chaine,abonnes,date,entite,signaux,verdict,commentaire
2026-09-06,lQ53145a3cY,https://www.youtube.com/watch?v=lQ53145a3cY,SQUEEZIE,20200000,2025-09-27,Marie,Marie,hors sujet,"Lis l'extrait. Il n'y a rien qui indique une collaboration. J'ai lu la description entière, et c'est la même chose"
2026-09-06,AImmeZ4o13g,https://www.youtube.com/watch?v=AImmeZ4o13g,Greg Guillotin,4410000,2022-10-26,CNIEL,CHAUD !,hors sujet,pareil
2026-09-06,NhFqiEtt1jY,https://www.youtube.com/watch?v=NhFqiEtt1jY,Pierre Croce,3790000,2021-10-11,INTERBEV,#EnjoyItsFromEurope,collaboration remuneree,
2026-09-06,I2WBnKFCUB4,https://www.youtube.com/watch?v=I2WBnKFCUB4,Djilsi,2350000,2021-11-13,INTERBEV,#EnjoyItsFromEurope,collaboration remuneree,
2026-09-06,x8nVWrI7-fE,https://www.youtube.com/watch?v=x8nVWrI7-fE,FabienOlicard,2330000,2022-06-20,Societe,Societe,hors sujet,
2026-09-06,-aNFZLXa7Do,https://www.youtube.com/watch?v=-aNFZLXa7Do,FabienOlicard,2330000,2022-04-25,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,jwL71xKnZnw,https://www.youtube.com/watch?v=jwL71xKnZnw,FabienOlicard,2330000,2019-05-08,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,oCNaSWjHpYA,https://www.youtube.com/watch?v=oCNaSWjHpYA,FabienOlicard,2330000,2020-01-06,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,FW25Vmgf8CE,https://www.youtube.com/watch?v=FW25Vmgf8CE,FabienOlicard,2330000,2024-06-12,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,0wMFThKBwC0,https://www.youtube.com/watch?v=0wMFThKBwC0,FabienOlicard,2330000,2020-06-18,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,s4mf4Vv2c08,https://www.youtube.com/watch?v=s4mf4Vv2c08,FabienOlicard,2330000,2018-11-28,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,PN0YPICyIXc,https://www.youtube.com/watch?v=PN0YPICyIXc,FabienOlicard,2330000,2018-05-26,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,Yr3y7jNTgcY,https://www.youtube.com/watch?v=Yr3y7jNTgcY,FabienOlicard,2330000,2021-12-06,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,AA8NcPpW23A,https://www.youtube.com/watch?v=AA8NcPpW23A,FabienOlicard,2330000,2018-05-11,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,PQ0oLl20Aoo,https://www.youtube.com/watch?v=PQ0oLl20Aoo,FabienOlicard,2330000,2018-12-15,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,Hi66_wIaE84,https://www.youtube.com/watch?v=Hi66_wIaE84,FabienOlicard,2330000,2023-08-19,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,z9g_Ok7s9q8,https://www.youtube.com/watch?v=z9g_Ok7s9q8,FabienOlicard,2330000,2020-08-05,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,8q-x9LYyqWs,https://www.youtube.com/watch?v=8q-x9LYyqWs,FabienOlicard,2330000,2022-03-28,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,u4u9al9hB5s,https://www.youtube.com/watch?v=u4u9al9hB5s,FabienOlicard,2330000,2023-10-27,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,lKKnIGKRhlE,https://www.youtube.com/watch?v=lKKnIGKRhlE,FabienOlicard,2330000,2022-12-05,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,zwX8m1AzcAc,https://www.youtube.com/watch?v=zwX8m1AzcAc,FabienOlicard,2330000,2019-11-20,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,k8nf36hD44s,https://www.youtube.com/watch?v=k8nf36hD44s,FabienOlicard,2330000,2018-08-08,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,Et81GnnAAug,https://www.youtube.com/watch?v=Et81GnnAAug,FabienOlicard,2330000,2018-02-07,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,D9z92qOEvxU,https://www.youtube.com/watch?v=D9z92qOEvxU,Redha Jr,2020000,2022-02-25,CNIEL,@lesproduitslaitiers,collaboration remuneree,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,mLZEJLHeJYI,https://www.youtube.com/watch?v=mLZEJLHeJYI,Studio Danielle,1740000,2023-01-02,INTERBEV,#EnjoyItsFromEurope,collaboration remuneree,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,R0RYmOZUx-8,https://www.youtube.com/watch?v=R0RYmOZUx-8,Studio Danielle,1740000,2020-08-04,INTERBEV,#EnjoyItsFromEurope,collaboration remuneree,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,yXCZsPgWTyg,https://www.youtube.com/watch?v=yXCZsPgWTyg,Hervé Cuisine,1600000,2026-02-23,INTERBEV,#EnjoyItsFromEurope,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,x-s2ZbTYnns,https://www.youtube.com/watch?v=x-s2ZbTYnns,Aurelien Fontenoy,1080000,2020-11-10,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,MqcwLcB1_-U,https://www.youtube.com/watch?v=MqcwLcB1_-U,Aurelien Fontenoy,1080000,2021-09-15,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,IjbK9gSYuUk,https://www.youtube.com/watch?v=IjbK9gSYuUk,Domingo,1030000,2026-02-04,Marie,Marie,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,MG8Wka9PqiE,https://www.youtube.com/watch?v=MG8Wka9PqiE,César - Culture G,750000,2026-03-12,President,President,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,NonE0HDBjWE,https://www.youtube.com/watch?v=NonE0HDBjWE,Ben Névert,618000,2025-11-30,INTERBEV,#EnjoyItsFromEurope,je ne sais pas,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,E27asjvUip8,https://www.youtube.com/watch?v=E27asjvUip8,Ben Névert,618000,2025-12-13,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,zmgFczEb4K4,https://www.youtube.com/watch?v=zmgFczEb4K4,ASMR Serena,505000,2021-08-02,Marie,Marie,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,r6Hl7KH3Q-E,https://www.youtube.com/watch?v=r6Hl7KH3Q-E,Emmanuel Macron,399000,2025-11-24,President,President,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,CIwxXgAO0Mc,https://www.youtube.com/watch?v=CIwxXgAO0Mc,Le Guide Ultime,294000,2026-01-14,Marie,Marie,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,ZWrjjNXijUI,https://www.youtube.com/watch?v=ZWrjjNXijUI,PirAStack,288000,2021-08-17,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,3L_NNx-A7NI,https://www.youtube.com/watch?v=3L_NNx-A7NI,Eric Le Carreleur,254000,2020-11-22,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,LGorxAZxtOY,https://www.youtube.com/watch?v=LGorxAZxtOY,Check,122000,2019-10-10,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,VfY04ENfC3w,https://www.youtube.com/watch?v=VfY04ENfC3w,Check,122000,2019-11-15,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,XpQlaTbDDxA,https://www.youtube.com/watch?v=XpQlaTbDDxA,Check,122000,2021-07-12,Societe,Societe,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,p9C3qqWogno,https://www.youtube.com/watch?v=p9C3qqWogno,Le Paris d'Alexis,71100,2023-04-30,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,cAbDST3hOzA,https://www.youtube.com/watch?v=cAbDST3hOzA,Beauty garden,68700,2023-08-16,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,EVQF0CALyJg,https://www.youtube.com/watch?v=EVQF0CALyJg,Viande Suisse,21300,2024-09-13,INTERBEV,#Viande,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,TomWFcnwpIw,https://www.youtube.com/watch?v=TomWFcnwpIw,T🍪 FOURNEAU,15400,2024-10-20,Marie,Marie,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,aBW5NiDCs00,https://www.youtube.com/watch?v=aBW5NiDCs00,La cuisine de Clément,11600,2018-12-11,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,886EZDVV4nI,https://www.youtube.com/watch?v=886EZDVV4nI,Dans la cuisine de Jérémy,4650,2026-05-11,CNIEL,CHAUD !,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,LP4Rwu094rc,https://www.youtube.com/watch?v=LP4Rwu094rc,Volailles Fermières des Landes,681,2021-06-30,ANVOL,Volailles Festives,hors sujet,valide par Vincent sur pre-tri Claude (06/09)
2026-09-06,qkH6__PkDyU,https://www.youtube.com/watch?v=qkH6__PkDyU,Nico d'Estais,771,2026-03-25,Nestle France,@nestleenfrance,collaboration remuneree,
