collaboration_id,createur_id,compte_id,commanditaire_id,contenu_url,contenu_titre,publie_le,signaux_observes,extrait,degre,constate_le,note_interne_NE_PAS_PUBLIER
c-000001,aimez-la-viande,youtube:UCGVLdT9d5MIDrqiiMDht-jg,interbev,https://www.youtube.com/watch?v=tdP184q-KrE,"MIV 2021 - Dominique, chef en restauration scolaire",2021-06-03,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000002,aimez-la-viande,youtube:UCGVLdT9d5MIDrqiiMDht-jg,interbev,https://www.youtube.com/watch?v=fRINpFrPrIk,"MIV 2021 - Thomas, boucher",2021-06-03,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000003,aimez-la-viande,youtube:UCGVLdT9d5MIDrqiiMDht-jg,interbev,https://www.youtube.com/watch?v=W2_R98ZVEVs,"MIV 2021 - M. Lemière, directeur d'un atelier de découpe",2021-06-03,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000004,aimez-la-viande,youtube:UCGVLdT9d5MIDrqiiMDht-jg,interbev,https://www.youtube.com/watch?v=irLE3ROb2so,"MIV 2021 - Alexandre, commerçant en bestiaux",2021-06-03,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000005,aimez-la-viande,youtube:UCGVLdT9d5MIDrqiiMDht-jg,interbev,https://www.youtube.com/watch?v=yp9Bs8eqF4c,"MIV 2021 - Laure, éleveuse d'ovins",2021-06-03,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000006,aimez-la-viande,youtube:UCGVLdT9d5MIDrqiiMDht-jg,interbev,https://www.youtube.com/watch?v=UMA9mo09mIc,"MIV 2021 - Élise et sa famille, éleveurs de bovins",2021-06-03,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000007,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=Yc4r1SzVb4Y,Gaëlle Garcia Diaz & Alkpote #CheckFood,2019-02-08,Produits Laitiers ; indices : partenariat,"…t: une ville, un artiste, un fromage. ⏎  ⏎ Une collaboration exclusive avec Les Produits Laitiers (nos amis pour la vie), présentée par Gaëlle Garcia Diaz. ⏎  ⏎ ——— ⏎ Culture - musique - fooding - société, bienvenue dans la galaxie Check. U…",collaboration remuneree (verdict humain),2026-08,"""Une collaboration exclusive avec Les Produits Laitiers (nos amis pour la vie), présentée par Gaëlle Garcia Diaz."""
c-000008,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=38vtxSjzi9Y,Gaëlle Garcia Diaz & KIKESA #CheckFood,2019-03-07,Produits Laitiers ; indices : collaboration,"…Charlicot (Paris, 11), toujours en collaboration avec nos amis pour la vie, les Produits Laitiers. ⏎  ⏎ Suivez KIKESA sur tous ses réseaux, et allez le voir à l’Olympia le 26 octobre 2019 ! ⏎  ⏎ Après avoir sillonné les restos bruxellois, c…",collaboration remuneree (verdict humain),2026-08,"""Toujours en collaboration avec nos amis pour la vie, les Produits Laitiers"""
c-000009,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=uXKO48o9DAI,Alkpote & Jok'air #CheckFood,2019-03-28,Produits Laitiers ; indices : partenariat,"…un concept inédit : une ville, un artiste, un fromage. En partenariat avec les Produits Laitiers (nos amis pour la vie). ⏎  ⏎ ——— ⏎ Culture - musique - fooding - société, bienvenue dans la galaxie Check. Une nouvelle vidéo chaque semaine.…",collaboration remuneree (verdict humain),2026-08,"""En partenariat avec les Produits Laitiers (nos amis pour la vie)."""
c-000010,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=EpzHxNBOcrs,Alkpote & Roi Heenok #CheckFood,2019-09-20,Produits Laitiers ; indices : partenariat,"…un concept inédit : une ville, un artiste, un fromage. En partenariat avec les Produits Laitiers (nos amis pour la vie). ⏎  ⏎ ——— ⏎ Culture - musique - fooding - société, bienvenue dans la galaxie Check. Une nouvelle vidéo chaque semaine.…",collaboration remuneree (verdict humain),2026-08,"""En partenariat avec les Produits Laitiers (nos amis pour la vie)."""
c-000011,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=VfY04ENfC3w,Alkpote & Philippe Katerine #CheckFood,2019-11-15,Produits Laitiers ; indices : partenariat,"…un concept inédit : une ville, un artiste, un fromage. En partenariat avec les Produits Laitiers (nos amis pour la vie). ⏎  ⏎ ——— ⏎ Culture - musique - fooding - société, bienvenue dans la galaxie Check. Une nouvelle vidéo chaque semaine.…",collaboration remuneree (verdict humain),2026-08,"""En partenariat avec les Produits Laitiers (nos amis pour la vie)."""
c-000012,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=4Hlmi8kDjeE,"Alkpote, Caballero & JeanJass, Seb et Mehdi Maïzi + guests #CheckFood",2019-12-25,Produits Laitiers ; indices : partenariat | remerciement,"…design: David Martin ⏎ Direction artistique: Back in the Dayz ⏎ Partenaire: Les Produits Laitiers ⏎ Chargées de production: Sarah Notard, Eponine Begeja ⏎ Production: Digizik ⏎  ⏎ ——— ⏎ Culture - musique - fooding - société, bienvenue dans…",collaboration remuneree (verdict humain),2026-08,"""Partenaire: Les Produits Laitiers"""
c-000013,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=CHpCoxV8PvA,Mister V et le MQEEBD #CheckFood,2020-03-11,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,"""Partenaire: Les Produits Laitiers"""
c-000014,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=H0x_Cdhk_5o,"KIKESA, Seth Gueko, 47Ter, Matou, P.Prod & Haristone #CheckFood",2020-10-22,Produits Laitiers ; indices : partenariat,…terminer le repas ! ⏎  ⏎ Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️ ⏎  ⏎ Animation: Kikesa ⏎ Rédac. Chef: Martin Vachiery ⏎ Réalisation et Montage : Alexandre Brehm ⏎ Image (ou CAM B) : Thomas Cadoux ⏎ Phot…,collaboration remuneree (verdict humain),2026-08,Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️
c-000015,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=efkbEp9LzCk,"Medine, Youssoupha, Lino, Oxmo Puccino, Rémy et Pirate #CheckFood",2020-11-08,Produits Laitiers ; indices : partenariat,…terminer le repas ! ⏎  ⏎ Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️ ⏎  ⏎ Animation: Medine ⏎ Rédac. Chef: Martin Vachiery ⏎ Réalisation et Montage : Alexandre Brehm ⏎ Cam 2: Hugo Bembi ⏎ Cam 3: Thomas Cadou…,collaboration remuneree (verdict humain),2026-08,Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️
c-000016,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=bLQ_UrBYgoA,"Gazo, Tiakola, Landy & le BSB Gang #CheckFood​",2021-02-27,Produits Laitiers ; indices : partenariat,…terminer le repas ! ⏎  ⏎ Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️ ⏎  ⏎ Animation: Gazo ⏎ Rédac. Chef / journaliste: Martin Vachiery ⏎ Réalisation et Montage : Alexandre Brehm ⏎ Cam 2: Hugo Bembi ⏎ Photos:…,collaboration remuneree (verdict humain),2026-08,Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️
c-000017,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=NMDUL6oIP-A,"S.Pri Noir, Mister V, Still Fresh et le Chef Pincemin #CheckFood",2021-04-21,Produits Laitiers ; indices : partenariat,…u fromage bien sûr. ⏎  ⏎ Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️ ⏎  ⏎ Animation: S.Pri Noir ⏎ Chef: Xavier Pincemin ⏎ Rédac. Chef / journaliste: Martin Vachiery ⏎ Réalisation et Montage : Alexandre Brehm…,collaboration remuneree (verdict humain),2026-08,Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️
c-000018,check,youtube:UCuZdQqYaRYcneCtI5nkjdzA,cniel,https://www.youtube.com/watch?v=WBa8Ci2k77E,"Sam’s, Jean-Pascal Zadi, Hakim Jemili & Friends #CheckFood",2021-09-19,Produits Laitiers ; indices : partenariat,…u fromage bien sûr. ⏎  ⏎ Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️ ⏎  ⏎ Animation: Sam’s ⏎ Chef: Khánh-Ly Huynh ⏎ Rédac. Chef / journaliste: Martin Vachiery ⏎ Réalisation et Montage : Alexandre Brehm ⏎ Cam…,collaboration remuneree (verdict humain),2026-08,Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers 🧀❤️
c-000019,djilsi,youtube:UCEUZRSYr1a2hnBfnpWslFeQ,interbev,https://www.youtube.com/watch?v=I2WBnKFCUB4,,2021-11-13,#EnjoyItsFromEurope ; indices : partenariat | remerciement,"…re, pour vous proposer des rendez-vous fromage à votre goût #EuropeHomeOfCheese #EnjoyItsFromEurope  ⏎  ⏎ J’espère que ça vous a plu sincèrement. Ca a été tellement d’énergie, de travail, de sensations…Maintenant cette Roulette Russe 2 est…",collaboration remuneree (verdict humain),2026-09-06,
c-000020,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,inaporc,https://www.youtube.com/watch?v=WCG8jN-i8ZQ,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594,2018-05-18,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000021,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,inaporc,https://www.youtube.com/watch?v=UXC8PGoEULg,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688",2018-10-25,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,
c-000022,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,interbev,https://www.youtube.com/watch?v=aEtOTdyWtqs,Ce TAUREAU me fait FLIPPER ! J'aide un éleveur de BOVINS !,2021-05-23,Made in Viande ; indices : aucun,"…INS ! ⏎ Cette semaine (jusqu'au 31 mai) ont lieu partout en France les rencontres Made in Viande, les portes ouvertes de la filière élevage et viande, qui permettent d'aller à la rencontre de tous les professionnels et de découvrir les métier…",collaboration remuneree (verdict humain),2026-08,"lien vers un site de lobby, très probable collaboration commerciale. Est-ce que ton outil repère aussi les URL?"
c-000023,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,interbev,https://www.youtube.com/watch?v=HUJAmqKEuwk,Je vis la vie d'un ELEVEUR d'OVINS !,2021-05-24,Made in Viande ; indices : aucun,"…INS ! ⏎ Cette semaine (jusqu'au 31 mai) ont lieu partout en France les rencontres Made in Viande, les portes ouvertes de la filière élevage et viande, qui permettent d'aller à la rencontre de tous les professionnels et de découvrir les métier…",collaboration remuneree (verdict humain),2026-08,idem
c-000024,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,interbev,https://www.youtube.com/watch?v=iUF2Duowqow,J'achète des VACHES avec un COMMERÇANT en BESTIAUX!,2021-05-25,Made in Viande ; indices : aucun,"…IAUX! ⏎ Cette semaine (jusqu'au 31 mai) ont lieu partout en France les rencontres Made in Viande, les portes ouvertes de la filière élevage et viande, qui permettent d'aller à la rencontre de tous les professionnels et de découvrir les métier…",collaboration remuneree (verdict humain),2026-08,idem
