commanditaire_id,nom,type,rattachement,produits
interbev,INTERBEV,Interprofession,,Viande
cniel,CNIEL,Interprofession,,Produits Laitiers
babybel,Babybel,Marque,Groupe Bel,Produits Laitiers
le-gaulois,Le Gaulois,Marque,LDC,Viande
inaporc,INAPORC,Interprofession,,Viande
anvol,ANVOL,Interprofession,,Viande
actimel,Actimel,Marque,Danone,Produits Laitiers
herta,Herta,Marque,Nestle / Casa Tarradellas,Viande
yoplait,Yoplait,Marque,Sodiaal,Produits Laitiers
danette,Danette,Marque,Danone,Produits Laitiers
