createur_id,nom_public,categorie
aimez-la-viande,Aimez la viande,a categoriser
check,Check,a categoriser
djilsi,Djilsi,a categoriser
florianonair,FlorianOnAir,a categoriser
herve-cuisine,Hervé Cuisine,a categoriser
inoxtag,Inoxtag,a categoriser
inoxtag-2-0,Inoxtag 2.0,a categoriser
juste-zoe,Juste Zoé,a categoriser
loris-giuliano,LORIS GIULIANO,a categoriser
michou,Michou,a categoriser
mister-v,Mister V,a categoriser
nico-d-estais,Nico d'Estais,a categoriser
pierre-croce,Pierre Croce,a categoriser
rebeudeter,RebeuDeter,a categoriser
redha-jr,Redha Jr,a categoriser
studio-danielle,Studio Danielle,a categoriser
valouzz,Valouzz,a categoriser
