marque,groupe,pseudo_teste,chaine_trouvee,titre_de_la_chaine,certitude,url,abonnes,note
Bigard,,"@bigard, @bigardfrance, @bigardfr, @bigardofficiel, @groupebigard, @bigardviandes",,,introuvable,,,aucun candidat ne resout
Cooperl,,@cooperlfrance,UCaIK9GnAotzdORzqs3r0qRw,Cooperl France,sur,https://www.youtube.com/channel/UCaIK9GnAotzdORzqs3r0qRw,502 abonnés,description : Compte YouTube Cooperl France + www.cooperl.com
Danone,,@danone,UCiMLbvE_0sP98wNLEHHoEdw,Danone,sur,https://www.youtube.com/channel/UCiMLbvE_0sP98wNLEHHoEdw,"8,49 k abonnés","chaine corporate MONDE (description officielle, en anglais)"
Danone,,@danonefrance,UCR897Ste7tqO7nUrQg6Vjdw,Danone Yaourt,sur,https://www.youtube.com/channel/UCR897Ste7tqO7nUrQg6Vjdw,"5,17 k abonnés","chaine de la MARQUE Danone en France (titre Danone Yaourt, description en francais)"
Eurial / Agrial,,@eurial,UCkxyNHJfHfyObC5YApCkizg,eurial,a verifier,https://www.youtube.com/channel/UCkxyNHJfHfyObC5YApCkizg,9 abonnés,"titre exact 'eurial' mais aucune description, 9 abonnes"
Eurial / Agrial,,@agrial,UCMIJh0h4hn7Ov-sw632_ldw,agrial,a verifier,https://www.youtube.com/channel/UCMIJh0h4hn7Ov-sw632_ldw,,titre exact 'agrial' mais aucune description
Groupe Aoste,,@aoste,UCuPHjiWswhrizI7nte5XkFw,AOSTE,a verifier,https://www.youtube.com/channel/UCuPHjiWswhrizI7nte5XkFw,,titre 'AOSTE' sans description ; la chaine sure du groupe est @aostefr (voir marque Aoste)
Groupe Bel,,@belfrance,UCmai20de422SBeShNCeTGZw,belfrance,a verifier,https://www.youtube.com/channel/UCmai20de422SBeShNCeTGZw,,titre 'belfrance' sans description
Kermene,,@kermene,UC47hQcV2f-l3aMJ3J1S6WPw,Kermene,a verifier,https://www.youtube.com/channel/UC47hQcV2f-l3aMJ3J1S6WPw,2 abonnés,"titre exact 'Kermene' mais aucune description, 2 abonnes"
LDC,,@ldcgroupe,UCsfhCkleqS3c41HRfkk1kTQ,Groupe LDC,sur,https://www.youtube.com/channel/UCsfhCkleqS3c41HRfkk1kTQ,772 abonnés,"titre 'Groupe LDC', description marque employeur en francais ; @ldc est un gamer, ecarte"
Lactalis,,@lactalisgroup,UCDpuxG4-fxEHueDQaxx9Uew,Lactalis Group,sur,https://www.youtube.com/channel/UCDpuxG4-fxEHueDQaxx9Uew,64 abonnés,"titre 'Lactalis Group', description officielle en francais"
Laita,,"@laita, @laitafrance, @laitafr, @laitaofficiel, @groupelaita, @laitagroupe",,,introuvable,,,laita/laitafrance/groupelaita... ne resolvent pas
Pilgrim's,,"@pilgrims, @pilgrimsfrance, @pilgrimsfr, @pilgrimsofficiel",,,introuvable,,,pilgrims* ne resout pas
SVA Jean Roze,,@svajeanroze,UCjt_Su_kmlwh8bkc0HP7Zqg,SVA Jean Rozé,sur,https://www.youtube.com/channel/UCjt_Su_kmlwh8bkc0HP7Zqg,168 abonnés,titre et description corporate (Groupement des Mousquetaires)
Savencia,,"@savencia, @savenciafrance, @savenciafr, @savenciaofficiel, @savenciafromagedairy, @savenciagroupe",,,introuvable,,,"savencia*, savenciafromagedairy ne resolvent pas"
Sicarev,,"@sicarev, @sicarevfrance, @sicarevfr, @sicarevofficiel, @groupesicarev",,,introuvable,,,"sicarev*, groupesicarev ne resolvent pas"
Sodiaal,,"@sodiaal, @sodiaalfrance, @sodiaalfr, @sodiaalofficiel, @sodiaalunion, @groupesodiaal",,,introuvable,,,"sodiaal*, sodiaalunion ne resolvent pas"
T'Rhea,,@trhea,,,introuvable,,,"@trhea est une personne (TRHEA EBOUELE), ecarte"
Terrena,,@terrena,UC4dNDqUUd89s382GF2pSKkQ,Terrena,sur,https://www.youtube.com/channel/UC4dNDqUUd89s382GF2pSKkQ,"1,56 k abonnés",description : cooperative agricole du Grand Ouest
Van Drie,,@vandriegroup,UCq72-VJLr649M1wqCJc1VHg,VanDrie Group,sur,https://www.youtube.com/channel/UCq72-VJLr649M1wqCJc1VHg,297 abonnés,"titre exact 'VanDrie Group' ; @vandrie est une personne, ecarte"
Actimel,Danone,@actimel,UCjUwUfddZh9iRHHuKs_pfjA,Actimel,sur,https://www.youtube.com/channel/UCjUwUfddZh9iRHHuKs_pfjA,"12,2 k abonnés",description officielle ; chaine INTERNATIONALE (anglais)
Actimel,Danone,@actimelfrance,UCtzWRpFDOS5ml_QDjE2RscQ,ActimelFrance,a verifier,https://www.youtube.com/channel/UCtzWRpFDOS5ml_QDjE2RscQ,5 abonnés,"titre 'ActimelFrance' mais page vide, 5 abonnes"
Activia,Danone,@activiafrance,UC3y4N3MGkCZZYfbRvgQAkug,Activia France,sur,https://www.youtube.com/channel/UC3y4N3MGkCZZYfbRvgQAkug,"5,31 k abonnés",description officielle Danone en francais
Aoste,Groupe Aoste,@aostefr,UCmIl-Vv9Mhvf4hhDhQl4IrA,AosteFR,sur,https://www.youtube.com/channel/UCmIl-Vv9Mhvf4hhDhQl4IrA,668 abonnés,"description : charcuteries Aoste, recettes (chaine francaise)"
