proposition,identifiant,confiance,voies,occurrences,entites,preuves
Les Produits Laitiers,,haute,registre : nom affiche instagram,36,CNIEL,https://www.youtube.com/watch?v=3QvRInOnfqo | https://www.youtube.com/watch?v=MRgD8nhPyvE | https://www.youtube.com/watch?v=xjsrqaP-sHQ
Pierre Chomet,pierrechomet,haute,moisson chaines lobbies 01/09,31,CIFOG | CNIEL,https://www.youtube.com/watch?v=zr_H224YIjM | https://www.youtube.com/watch?v=d8TT5o_JHFc | https://www.youtube.com/watch?v=wVdh91ToTAk
pepites2noisette,pepites2noisette,haute,moisson chaines lobbies 01/09,18,INAPORC,https://www.youtube.com/watch?v=TwW-tEsxOCE | https://www.youtube.com/watch?v=MKJO8BcaLx4 | https://www.youtube.com/watch?v=kG6hxn7kZX0
morgan.niquet,morgan.niquet,haute,moisson chaines lobbies 01/09 + registre : identifiant instagram,13,CNIEL,https://www.youtube.com/watch?v=vayWBJrDUvY | https://www.youtube.com/watch?v=RhHMHg4YN-c | https://www.youtube.com/watch?v=UmOX0mcPQc0
Leporc,,basse,moisson chaines lobbies 01/09,12,INAPORC,https://www.youtube.com/watch?v=W7GV5U7igt0 | https://www.youtube.com/watch?v=drfJJzcMBiM | https://www.youtube.com/watch?v=TuJs6OC7eiw
Interview Métiers,,haute,moisson chaines lobbies 01/09,11,INTERBEV,https://www.youtube.com/watch?v=0mE06nmWsNU | https://www.youtube.com/watch?v=lYVceejJyxU | https://www.youtube.com/watch?v=pBkpVTxfkho
Mister V,,haute,moisson chaines lobbies 01/09 + registre : nom affiche youtube,10,CNIEL,https://www.youtube.com/watch?v=ws3WGmINlIg | https://www.youtube.com/watch?v=7iHyZ3JNmrE | https://www.youtube.com/watch?v=9kQ5WB9PYZI
L’Amour Bœuf,lamourboeuf,haute,moisson chaines lobbies 01/09,10,INTERBEV,https://www.youtube.com/watch?v=gsMFwYnfZGo | https://www.youtube.com/watch?v=4mERtLCCbjQ | https://www.youtube.com/watch?v=d4a_fiwm-v4
Les produits tripiers,produitstripiers,haute,moisson chaines lobbies 01/09,9,INTERBEV,https://www.youtube.com/watch?v=c7Hf-q_PwaM | https://www.youtube.com/watch?v=BictKWdUyZ0 | https://www.youtube.com/watch?v=EMVLz6vnWTA
Label Rouge,label_rouge_quality,haute,moisson chaines lobbies 01/09,8,INTERBEV,https://www.youtube.com/watch?v=yAfAdGuttB4 | https://www.youtube.com/watch?v=MVcnZIQM120 | https://www.youtube.com/watch?v=2qRntnCD4Do
Histoire Métiers,,haute,moisson chaines lobbies 01/09,8,INTERBEV,https://www.youtube.com/watch?v=gT0Da7LF-a4 | https://www.youtube.com/watch?v=n9lKxQuXpUY | https://www.youtube.com/watch?v=pBDS4a11e2Q
Nos Chefs nous manquent,,haute,moisson chaines lobbies 01/09,8,CIFOG,https://www.youtube.com/watch?v=8HXOVKPjeAg | https://www.youtube.com/watch?v=MDGAVv-TDtM | https://www.youtube.com/watch?v=Y7Ehm2cf20o
florianonair,florianonair,haute,moisson chaines lobbies 01/09 + registre : identifiant instagram,7,ANVOL | INTERBEV,https://www.youtube.com/watch?v=tdP184q-KrE | https://www.youtube.com/watch?v=fRINpFrPrIk | https://www.youtube.com/watch?v=W2_R98ZVEVs
MIV 2021,,haute,moisson chaines lobbies 01/09,6,INTERBEV,https://www.youtube.com/watch?v=tdP184q-KrE | https://www.youtube.com/watch?v=fRINpFrPrIk | https://www.youtube.com/watch?v=W2_R98ZVEVs
Fabrice Mignot,fabrice_mignot,haute,moisson chaines lobbies 01/09,6,INTERBEV,https://www.youtube.com/watch?v=jQyZc_CL0Uw | https://www.youtube.com/watch?v=baPcbOWDGos | https://www.youtube.com/watch?v=oS1RQSmpxlA
@Myriamanhattan,Myriamanhattan,haute,@mention (vitrine),5,CNIEL,https://www.youtube.com/watch?v=nLXBWwZ1vxI | https://www.youtube.com/watch?v=VlDt3FBercE | https://www.youtube.com/watch?v=ZxgNLZL-Sb8
lesprolaitiers,lesprolaitiers,haute,registre : identifiant indeterminee,5,CNIEL,https://www.youtube.com/watch?v=nLXBWwZ1vxI | https://www.youtube.com/watch?v=VlDt3FBercE | https://www.youtube.com/watch?v=ZxgNLZL-Sb8
La Brigade,labrigadeft,haute,moisson chaines lobbies 01/09,5,CIFOG | CNIEL,https://www.youtube.com/watch?v=SO51d6zi54Y | https://www.youtube.com/watch?v=uwyDo-NNCD8 | https://www.youtube.com/watch?v=enwrPfzA3Dk
e-Boucherie normande,tabledeseleveurs,haute,moisson chaines lobbies 01/09,5,INTERBEV,https://www.youtube.com/watch?v=yAfAdGuttB4 | https://www.youtube.com/watch?v=MVcnZIQM120 | https://www.youtube.com/watch?v=2qRntnCD4Do
Made in viande 2014,,haute,moisson chaines lobbies 01/09,5,INTERBEV,https://www.youtube.com/watch?v=_0gTezsTDKw | https://www.youtube.com/watch?v=-EJGHIr20VA | https://www.youtube.com/watch?v=3zL_l5jbDgc
Christian,UCsG9Yx0Pa1abHq0iR6kbBhQ,haute,moisson chaines lobbies 01/09,5,CIFOG | INTERBEV,https://www.youtube.com/watch?v=Z-EqC3xmZ_Y | https://www.youtube.com/watch?v=5hyTmOYnrz0 | https://www.youtube.com/watch?v=Yz3AmIIjcfw
Le Monde,,haute,registre : nom affiche youtube,4,CNIEL | INTERBEV,https://www.youtube.com/watch?v=3vmnwH0WSMU | https://www.youtube.com/watch?v=B5ujiOP_9hA | https://www.youtube.com/watch?v=MHW9vrIRSDQ
Thomas,,basse,registre : nom affiche instagram,4,CNIEL | INTERBEV,https://www.youtube.com/watch?v=7iHyZ3JNmrE | https://www.youtube.com/watch?v=5jQCw_7o87Q | https://www.youtube.com/watch?v=fRINpFrPrIk
✿ 𝑨𝒍𝒆𝒙𝒂𝒏𝒅𝒓𝒂 ✿,le_petit_marius,haute,moisson chaines lobbies 01/09,4,CNIEL,https://www.youtube.com/watch?v=f3vtukRq9U8 | https://www.youtube.com/watch?v=3C5o1K5dy4o | https://www.youtube.com/watch?v=6A1qrXnrtWM
Milk Check,,haute,moisson chaines lobbies 01/09,4,CNIEL,https://www.youtube.com/watch?v=4O2QVqnaew8 | https://www.youtube.com/watch?v=V8jvr6gfhyI | https://www.youtube.com/watch?v=ZYunQ4CjcvA
