fichier,feuille,rang,chaine,abonnes,date,entite,titre,verdict,commentaire
A_VERIFIER.xlsx,a verifier,2,Michou,11000000,2022-05-08,CNIEL,ÉNORME MATCH DE HOCKEY SUR GLACE ENTRE YOUTUBEURS et STREAMEURS ! (ptdrrr on sait pas patiner),collaboration remuneree,"Pas sûr à 100%, mais presque. En description de la vidéo, il y a le lien vers la fédération française de hockey, mais pas vers les produits laitiers. Cependant, une mention d'un lobby identifié est très probablement le signe d'une collaboration rémunérée."
A_VERIFIER.xlsx,a verifier,3,Inoxtag,9470000,2020-08-15,CNIEL,Qui sont les meilleurs Croûtons ? (Compétition d'activités dans la villa en Corse),collaboration remuneree,"Pareil: pas de lien, mais vu qui sont 'les produits laitiers', très très probable collaboration commerciale."
A_VERIFIER.xlsx,a verifier,4,Inoxtag,9470000,2021-05-08,CNIEL,24H pour faire un Film d’action (je prend feu et j’explose une voiture),je ne sais pas,"Il n'y a rien de probant dans la description. Il faudrait que je regarde toute la vidéo pour savoir. Pourquoi le passage utile n'a pas été enregistré? J'ai passé la vidéo très vite, et regardé le générique, pas de vu de mention de lobby dans les remerciements"
A_VERIFIER.xlsx,a verifier,5,Inoxtag,9470000,2021-07-17,CLIPP,CUBE - Inoxtag (Feat. Flashboy),je ne sais pas,"Il y a un collaboration avec Rhinoshield, pas de trace de lobby de la viande ou du lait. Non plus dans les commentaires. Note intéressante: la portion la plus 'replayed' de la vidéo est celle où il y la pub pour rhinoshield."
A_VERIFIER.xlsx,a verifier,6,Inoxtag,9470000,2022-08-13,CNIEL,24h à la ferme ! (C’était incroyable),collaboration remuneree,
A_VERIFIER.xlsx,a verifier,7,Inoxtag,9470000,2024-03-09,CLIPP,"48H pour sortir des BACKROOMS ! (Ft. Michou, Amine, Billy, LeGrandJD, Matt)",hors sujet,"Thanks to Air Up for sponsoring the video!"""
A_VERIFIER.xlsx,a verifier,8,Inoxtag,9470000,2024-09-14,CNIEL,KAIZEN: 1 an pour gravir l'Everest !,hors sujet,Je suis curieux de pourquoi il y a écrit '[La mention est au-dela de ce qui a ete enregistre. Ouvrir la video pour lire la description complete.]'
A_VERIFIER.xlsx,a verifier,9,Inoxtag,9470000,2024-09-20,CNIEL,On répond à vos question sur KAIZEN ! (Ft. Mathis),collaboration remuneree,
A_VERIFIER.xlsx,a verifier,10,Mister V,6540000,2022-12-11,CNIEL,MISTER V - LES JONES,collaboration remuneree,"""Thanks to : 
Les Produits Laitiers and Adrien Dinh for following me in my projects."" >> N'est-il pas possible de scraper TOUTE la description? Pourquoi celle-ci n'a pas été enregistrée? Explique-moi comment ton outil fonctionne ou dysfonctionne"
A_VERIFIER.xlsx,a verifier,11,Valouzz,3280000,2023-12-25,CIFOG,Mon premier Noël en tant que Papa 🎅🎄,je ne sais pas,Comment je fais pour savoir? S'ils ont reçu des sous de la conserverie artisanale bretonne?
