option,video_id,chaine,abonnes,publiee,entite,signaux,force,indices_commerciaux,titre,url,extrait
6,eDyBhasGC7s,Inoxtag,9470000,2023-03-28,Actimel,Actimel,fort,partenariat | sponsor,Soirée Fortnite avec MICHOU (comme à l'ancienne),https://www.youtube.com/watch?v=eDyBhasGC7s,"…mme à l'ancienne) ⏎ Code de l'île : 7442-9920-5685 ⏎  ⏎ Partenariat rémunéré avec Actimel. Ceci n'est pas sponsorisé, soutenu ou administré par Epic Games, Inc. ⏎ # Sponsorisé ⏎  ⏎ 🎥 Chaîne secondaire : https://inoxtag.tv/inoxtag2.0 ⏎ 💙 T'abo…"
6,8afFe-M8Zpg,Inoxtag 2.0,3140000,2023-03-30,Actimel,Actimel,fort,partenariat | sponsor,"5 ans plus tard, on rejoue à Fortnite avec Michou sur la Map du chapitre 1 !",https://www.youtube.com/watch?v=8afFe-M8Zpg,"…ite et on continue sur Fortnite 5 ans plus tard! ⏎  ⏎ Partenariat rémunéré avec Actimel. Ceci n'est pas sponsorisé, soutenu ou administré par Epic Games, Inc. ⏎ # Sponsorisé ⏎  ⏎ Code de l'île : 7442-9920-5685 ⏎  ⏎  ⏎ 🔔✅Activez la cloche de…"
6,pPWcorCvo1g,Studio Danielle,1740000,2021-01-08,Actimel,Actimel,fort,,Danielle en live avec ses potes,https://www.youtube.com/watch?v=pPWcorCvo1g,…19 heures.  ⏎ Il y aura plein d'invités surprises et des cadeaux à gagner avec Actimel ! ⏎ #EnsembleNeLâchonsRien ⏎ #StrongerTogether
6,x6N7UloAJ6I,Juste Zoé,1560000,2025-11-09,CNIEL,Nos amis pour la vie,fort,collaboration,UNE SEMAINE DE FOLIE AU MAROC,https://www.youtube.com/watch?v=x6N7UloAJ6I,…lection?utm_source=Influence_Youtube&utm_medium=cpc&utm_campaign=JusteZo_G ⏎  ⏎ Nos amis pour la vie : https://www.nosamispourlavie.org ⏎  ⏎ Mes réseaux :  ⏎ Instagram : @justezoe https://bit.ly/3ff83UC ⏎ Tiktok : @justezoe https://bit.ly/2…
6,iOQ5AQIk_zk,Emeline Franque,6260,2023-02-28,CNIEL,Les Produits Laitiers | Nos amis pour la vie | Produits Laitiers,fort,,Les produits laitiers sont nos amis pour la vie ! #bébé #biberon #dme #diversification #nourriture,https://www.youtube.com/watch?v=iOQ5AQIk_zk,Les produits laitiers sont nos amis pour la vie ! #bébé #biberon #dme #diversification #nourriture
6,5eJ95x17wg4,,0,2026-02-08,Actimel,Actimel,fort,,LA RECETTE ACTIMEL EN TROMPE L’ŒIL,https://www.youtube.com/watch?v=5eJ95x17wg4,LA RECETTE ACTIMEL EN TROMPE L’ŒIL
23,eDyBhasGC7s,Inoxtag,9470000,2023-03-28,Actimel,Actimel,fort,partenariat | sponsor,Soirée Fortnite avec MICHOU (comme à l'ancienne),https://www.youtube.com/watch?v=eDyBhasGC7s,"…mme à l'ancienne) ⏎ Code de l'île : 7442-9920-5685 ⏎  ⏎ Partenariat rémunéré avec Actimel. Ceci n'est pas sponsorisé, soutenu ou administré par Epic Games, Inc. ⏎ # Sponsorisé ⏎  ⏎ 🎥 Chaîne secondaire : https://inoxtag.tv/inoxtag2.0 ⏎ 💙 T'abo…"
23,8afFe-M8Zpg,Inoxtag 2.0,3140000,2023-03-30,Actimel,Actimel,fort,partenariat | sponsor,"5 ans plus tard, on rejoue à Fortnite avec Michou sur la Map du chapitre 1 !",https://www.youtube.com/watch?v=8afFe-M8Zpg,"…ite et on continue sur Fortnite 5 ans plus tard! ⏎  ⏎ Partenariat rémunéré avec Actimel. Ceci n'est pas sponsorisé, soutenu ou administré par Epic Games, Inc. ⏎ # Sponsorisé ⏎  ⏎ Code de l'île : 7442-9920-5685 ⏎  ⏎  ⏎ 🔔✅Activez la cloche de…"
23,j3c93I--ZC0,Konbini,2490000,2026-07-07,Danette,Danette,faible,collaboration,"Un peu complotiste, mais très sympa ce Marco...",https://www.youtube.com/watch?v=j3c93I--ZC0,"…peu complotiste, mais très sympa ce Marco... ⏎ En collaboration commerciale avec Danette.  ⏎  ⏎ It's only on Konbini ! ⏎  ⏎ Konbini est là depuis 2008 pour célébrer la culture, la diversité des talents et les sujets qui engagent la jeunesse.…"
23,72q6EbXvXj4,Konbini,2490000,2026-07-05,Danette,Danette,faible,collaboration,"Un peu complotiste, mais très sympa ce Marco. En collaboration commerciale avec Danette.",https://www.youtube.com/watch?v=72q6EbXvXj4,"Un peu complotiste, mais très sympa ce Marco. En collaboration commerciale avec Danette. ⏎ It's only on Konbini ! ⏎  ⏎ Konbini est là depuis 2008 pour célébrer la culture, la diversité des talents et les sujets qui engagent la jeunesse. Mais…"
